Year_Seq,Year,Region,Abundance,Method,LCI,UCI
1,1947,California,398,Observed,,
2,1948,California,NA,Observed,,
3,1949,California,NA,Observed,,
4,1950,California,495,Observed,,
5,1951,California,NA,Observed,,
6,1952,California,NA,Observed,,
7,1953,California,NA,Observed,,
8,1954,California,NA,Observed,,
9,1955,California,600,Observed,,
10,1956,California,NA,Observed,,
11,1957,California,660,Observed,,
12,1958,California,NA,Observed,,
13,1959,California,788,Observed,,
14,1960,California,NA,Observed,,
15,1961,California,NA,Observed,,
16,1962,California,NA,Observed,,
17,1963,California,893,Observed,,
18,1964,California,NA,Observed,,
19,1965,California,NA,Observed,,
20,1966,California,945,Observed,,
21,1967,California,NA,Observed,,
22,1968,California,NA,Observed,,
23,1969,California,1043,Observed,,
24,1970,California,NA,Observed,,
25,1971,California,NA,Observed,,
26,1972,California,NA,Observed,,
27,1973,California,NA,Observed,,
28,1974,California,NA,Observed,,
29,1975,California,NA,Observed,,
30,1976,California,NA,Observed,,
31,1977,California,NA,Observed,,
32,1978,California,NA,Observed,,
33,1979,California,1082,Observed,,
34,1980,California,NA,Observed,,
35,1981,California,NA,Observed,,
36,1982,California,NA,Observed,,
37,1983,California,1156,Observed,,
38,1984,California,1180,Observed,,
39,1985,California,1119,Observed,,
40,1986,California,1358,Observed,,
41,1987,California,1435,Observed,,
42,1988,California,1504,Observed,,
43,1989,California,1571,Observed,,
44,1990,California,1466,Observed,,
45,1991,California,1700,Observed,,
46,1992,California,1810,Observed,,
47,1993,California,2022,Observed,,
48,1994,California,2076,Observed,,
49,1995,California,2095,Observed,,
50,1996,California,1963,Observed,,
51,1997,California,1919,Observed,,
52,1998,California,1954,Observed,,
53,1999,California,1831,Observed,,
54,2000,California,2052,Observed,,
55,2001,California,1861,Observed,,
56,2002,California,1845,Observed,,
57,2003,California,2270,Observed,,
58,2004,California,2494,Observed,,
59,2005,California,2416,Observed,,
60,2006,California,2369,Observed,,
61,2007,California,2627,Observed,,
62,2008,California,2428,Observed,,
63,2009,California,2262,Observed,,
64,2010,California,2452,Observed,,
65,2011,California,NA,Observed,,
66,2012,California,2486,Observed,,
67,2013,California,2444,Observed,,
68,2014,California,2410,Observed,,
69,2015,California,2688,Observed,,
70,2016,California,3078,Observed,,
71,2017,California,2211,Observed,,
1,1969,Alaska,402,Observed,,
2,1970,Alaska,NA,Observed,,
3,1971,Alaska,NA,Observed,,
4,1972,Alaska,NA,Observed,,
5,1973,Alaska,NA,Observed,,
6,1974,Alaska,NA,Observed,,
7,1975,Alaska,475,Observed,,
8,1976,Alaska,NA,Observed,,
9,1977,Alaska,NA,Observed,,
10,1978,Alaska,NA,Observed,,
11,1979,Alaska,NA,Observed,,
12,1980,Alaska,NA,Observed,,
13,1981,Alaska,NA,Observed,,
14,1982,Alaska,NA,Observed,,
15,1983,Alaska,NA,Observed,,
16,1984,Alaska,NA,Observed,,
17,1985,Alaska,NA,Observed,,
18,1986,Alaska,NA,Observed,,
19,1987,Alaska,NA,Observed,,
20,1988,Alaska,4521,Observed,,
21,1989,Alaska,NA,Observed,,
22,1990,Alaska,NA,Observed,,
23,1991,Alaska,NA,Observed,,
24,1992,Alaska,NA,Observed,,
25,1993,Alaska,NA,Observed,,
26,1994,Alaska,NA,Observed,,
27,1995,Alaska,NA,Observed,,
28,1996,Alaska,NA,Observed,,
29,1997,Alaska,NA,Observed,,
30,1998,Alaska,NA,Observed,,
31,1999,Alaska,NA,Observed,,
32,2000,Alaska,NA,Observed,,
33,2001,Alaska,NA,Observed,,
34,2002,Alaska,NA,Observed,,
35,2003,Alaska,13221,Observed,,
36,2004,Alaska,NA,Observed,,
37,2005,Alaska,NA,Observed,,
38,2006,Alaska,NA,Observed,,
39,2007,Alaska,NA,Observed,,
40,2008,Alaska,NA,Observed,,
41,2009,Alaska,NA,Observed,,
42,2010,Alaska,NA,Observed,,
43,2011,Alaska,25584,Observed,,
44,2012,Alaska,NA,Observed,,
1,1969,Alaska,NA,Estimated,,
2,1970,Alaska,NA,Estimated,,
3,1971,Alaska,NA,Estimated,,
4,1972,Alaska,NA,Estimated,,
5,1973,Alaska,NA,Estimated,,
6,1974,Alaska,NA,Estimated,,
7,1975,Alaska,501.0561,Estimated,414.316,589.083
8,1976,Alaska,631.3386,Estimated,511.16,760.837
9,1977,Alaska,789.2299,Estimated,619.1,960.942
10,1978,Alaska,980.4135,Estimated,764.531,1220.97
11,1979,Alaska,1207.1642,Estimated,918.44,1508.84
12,1980,Alaska,1474.4026,Estimated,1109.15,1858.41
13,1981,Alaska,1785.0348,Estimated,1329.96,2262.88
14,1982,Alaska,2142.1049,Estimated,1601.11,2737.83
15,1983,Alaska,2552.5037,Estimated,1889.3,3235.32
16,1984,Alaska,3020.9421,Estimated,2232.2,3817.03
17,1985,Alaska,3550.6488,Estimated,2684.92,4534.57
18,1986,Alaska,4139.4088,Estimated,3154.15,5302.91
19,1987,Alaska,4790.7211,Estimated,3656.61,6072.48
20,1988,Alaska,5406.9403,Estimated,4053.49,6854.64
21,1989,Alaska,5816.804,Estimated,4309.91,7407.04
22,1990,Alaska,6279.1986,Estimated,4557.19,8010.74
23,1991,Alaska,6887.8163,Estimated,5046.3,8887.05
24,1992,Alaska,7231.9059,Estimated,5152.58,9374.53
25,1993,Alaska,7105.6906,Estimated,5027.86,9571.25
26,1994,Alaska,7549.5304,Estimated,5291.35,10233.2
27,1995,Alaska,8027.1789,Estimated,5577.56,10750.5
28,1996,Alaska,8641.0764,Estimated,6075.43,11539
29,1997,Alaska,9148.5442,Estimated,6438.28,12170.9
30,1998,Alaska,9676.0182,Estimated,6921.5,12953.4
31,1999,Alaska,10196.8939,Estimated,7349.02,13663.7
32,2000,Alaska,10830.9977,Estimated,7873.4,14306.9
33,2001,Alaska,11603.705,Estimated,8428.84,15197.8
34,2002,Alaska,12322.2308,Estimated,9129.53,16038.5
35,2003,Alaska,13257.1118,Estimated,9951.88,17046
36,2004,Alaska,14619.9627,Estimated,11119.4,18800
37,2005,Alaska,15949.024,Estimated,12154.2,20412
38,2006,Alaska,17573.2251,Estimated,13121.4,22330.4
39,2007,Alaska,18902.3105,Estimated,14253.7,24171.2
40,2008,Alaska,20809.7549,Estimated,15525.9,26584.8
41,2009,Alaska,22270.6585,Estimated,16749.2,28544.4
42,2010,Alaska,23904.9354,Estimated,17862,30741.9
43,2011,Alaska,25584,Estimated,18739,33163
44,2012,Alaska,27075.4634,Estimated,19622.7,35767.3
1,1947,California,NA,Estimated,,
2,1948,California,NA,Estimated,,
3,1949,California,NA,Estimated,,
4,1950,California,NA,Estimated,,
5,1951,California,NA,Estimated,,
6,1952,California,NA,Estimated,,
7,1953,California,NA,Estimated,,
8,1954,California,NA,Estimated,,
9,1955,California,NA,Estimated,,
10,1956,California,NA,Estimated,,
11,1957,California,NA,Estimated,,
12,1958,California,NA,Estimated,,
13,1959,California,NA,Estimated,,
14,1960,California,NA,Estimated,,
15,1961,California,NA,Estimated,,
16,1962,California,NA,Estimated,,
17,1963,California,NA,Estimated,,
18,1964,California,NA,Estimated,,
19,1965,California,NA,Estimated,,
20,1966,California,NA,Estimated,,
21,1967,California,NA,Estimated,,
22,1968,California,NA,Estimated,,
23,1969,California,NA,Estimated,,
24,1970,California,NA,Estimated,,
25,1971,California,NA,Estimated,,
26,1972,California,NA,Estimated,,
27,1973,California,NA,Estimated,,
28,1974,California,NA,Estimated,,
29,1975,California,NA,Estimated,,
30,1976,California,NA,Estimated,,
31,1977,California,NA,Estimated,,
32,1978,California,NA,Estimated,,
33,1979,California,NA,Estimated,,
34,1980,California,NA,Estimated,,
35,1981,California,NA,Estimated,,
36,1982,California,NA,Estimated,,
37,1983,California,1180.862543,Estimated,1096.999385,1270.088454
38,1984,California,1218.602611,Estimated,1140.018652,1300.582557
39,1985,California,1270.935508,Estimated,1190.041195,1356.504671
40,1986,California,1385.71405,Estimated,1305.586644,1472.788162
41,1987,California,1483.937421,Estimated,1399.397027,1574.575747
42,1988,California,1570.643252,Estimated,1480.667745,1669.081883
43,1989,California,1602.852648,Estimated,1511.055376,1701.981183
44,1990,California,1648.533795,Estimated,1552.396897,1752.058455
45,1991,California,1742.688415,Estimated,1643.093459,1848.235164
46,1992,California,1860.428657,Estimated,1755.562365,1975.16765
47,1993,California,1945.612634,Estimated,1835.972401,2064.126685
48,1994,California,2037.561194,Estimated,1918.633255,2166.261804
49,1995,California,2031.456183,Estimated,1918.634813,2153.121932
50,1996,California,2038.126994,Estimated,1925.592762,2157.834193
51,1997,California,2048.162033,Estimated,1933.144839,2170.770583
52,1998,California,2041.453139,Estimated,1922.675416,2163.810671
53,1999,California,2032.507366,Estimated,1908.935841,2160.408712
54,2000,California,2075.212815,Estimated,1950.926774,2203.716653
55,2001,California,2141.855074,Estimated,2018.637191,2270.244319
56,2002,California,2199.752876,Estimated,2073.831388,2330.583714
57,2003,California,2299.278957,Estimated,2171.489861,2432.910534
58,2004,California,2414.614791,Estimated,2282.978839,2556.66926
59,2005,California,2488.226227,Estimated,2351.387475,2634.168702
60,2006,California,2436.721059,Estimated,2298.578511,2582.413399
61,2007,California,2462.182618,Estimated,2323.318504,2608.825627
62,2008,California,2480.584281,Estimated,2338.257813,2631.663315
63,2009,California,2434.228241,Estimated,2286.772535,2588.33923
64,2010,California,2409.520758,Estimated,2254.170228,2569.625995
65,2011,California,2403.333584,Estimated,2229.601412,2584.420703
66,2012,California,2393.948154,Estimated,2243.00137,2556.775367
67,2013,California,2392.579746,Estimated,2245.779211,2552.908569
68,2014,California,2473.047927,Estimated,2326.51732,2629.96466
69,2015,California,2647.574787,Estimated,2484.729834,2817.444816
70,2016,California,2720.581402,Estimated,2548.071318,2907.835263
71,2017,California,2636.58065,Estimated,2435.776398,2854.42932
